DEC alternative conversion factor (LCU per US$),Fertility rate, total (births per woman),GDP (constant LCU),GDP (current LCU),GDP (current US$),GDP at market prices (constant 2010 US$),GDP deflator (base year varies by country),GDP growth (annual %),GDP per capita (current LCU),GDP per capita (current US$),GDP per capita, PPP (constant 2011 international $),GDP per capita, PPP (current international $),GDP, PPP (constant 2011 international $),GDP, PPP (current international $),GNI (current LCU),GNI per capita (current LCU),GNI per capita, Atlas method (current US$),GNI per capita, PPP (current international $),General government total expenditure (current LCU),Life expectancy at birth, total (years),Mortality rate, infant (per 1,000 live births),Official exchange rate (LCU per US$, period average),PPP conversion factor, GDP (LCU per international $),PPP conversion factor, private consumption (LCU per international $),Population aged 14 years or younger (thousands),Population aged 15-24 years (thousands),Population aged 25-64 years (thousands) ,Population aged 65 years or older (thousands),Population growth (annual %),Poverty headcount ratio at $3.20 a day (PPP) (% of population),Prevalence of HIV, total (% of population ages 15-49),Price level ratio of PPP conversion factor (GDP) to market exchange rate,Rural population (% of total population),Total debt service (% of GNI),Total population (thousands),
ABW,1.8,1.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,1.8,NaN,1.5,19,15,58,14,0.5,NaN,NaN,NaN,57,NaN,106,
AFG,72.3,4.5,515529924900,1409469231300,19484384937,21126660586,273.4,1.8,37917,524,2190,2242,81416458657,83337636266,1423266614000,38288,550,2260,384176000000,64,48,72.1,16.91,17.1,16017,8071,12122,961,2.4,NaN,0.1,0.2,75,0.3,37172,
AGO,252.9,5.5,1554831956300,25627742117300,101353230785,99635905543,1648.3,-2,831806,3290,6934,7097,213619771611,218660540133,23647996403200,767549,3210,6550,5273865000000,61,52,252.9,117.2,125.9,14422,5958,9747,683,3.3,73.2,1.9,0.5,34,9.2,30810,
AIA,NaN,NaN,NaN,791127791,NaN,NaN,NaN,NaN,53705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7,NaN,NaN,3,2,8,1,NaN,NaN,NaN,NaN,NaN,NaN,15,
ALB,108,1.6,1511909900000,1635714630000,15147020535,14546448944,108.2,4.1,570656,5284,13601,13834,38986449579,39653392851,1633858412500,570008,4860,13820,471407000000,78,9,108,41.25,51.3,509,458,1519,396,-0.2,NaN,0.1,0.4,40,7.2,2883,
AND,0.8,NaN,2621620000,2725270000,3218316013,3475566751,104,1.6,35390,41793,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,657275685,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,12,NaN,NaN,
ARE,3.7,1.4,1461737003117,1550584747566,422215043585,398022328963,106.1,1.2,161000,43839,66968,68549,644968661273,660187934758,1555814747566,161543,41470,68780,447658000000,78,7,3.7,2.35,2.9,1406,1161,6959,104,1.5,NaN,NaN,0.6,13,NaN,9631,
ARG,28.1,2.3,707329642300,14605790349000,519871519808,446880911358,2064.9,-2.5,328261,11684,22746,23283,1012067661427,1035949340413,14082458184600,316499,12390,22450,5742987000000,77,9,28.1,14.1,14.2,10984,7017,21428,4932,1,3.9,0.4,0.5,8,6.9,44361,
ARM,483,1.8,5339485715468,6017035200000,12457941907,13007610290,112.7,5.2,2038446,4220,12715,13015,37531708419,38417341116,6094874094700,2064816,4230,13180,1447083000000,75,11,483,156.62,167.4,609,367,1644,332,0.2,9.4,0.2,0.3,37,13.2,2952,
ASM,1,NaN,608000000,636000000,636000000,514255507,104.6,2.2,11467,11467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17,11,25,3,-0.3,NaN,NaN,NaN,13,NaN,55,
ATG,2.7,2,3516470000,4348550000,1610574074,1457277456,123.7,7.4,45163,16727,21116,21614,2033155752,2081131964,4125488200,42846,15890,20510,996000000,77,6,2.7,2.09,2.4,21,15,52,8,0.9,NaN,NaN,0.8,75,NaN,96,
AUS,1.3,1.7,1849880000000,1849880000000,1433904348500,1420623874172,100,2.9,74046,57396,49576,51036,1238541268895,1275026604984,1792113000000,71734,53250,49440,700439000000,83,3,1.3,1.45,1.5,4778,3118,13103,3898,1.5,NaN,0.1,1.1,14,NaN,24898,
AUT,0.8,1.5,368856790000,385711940000,455508255028,442527642505,104.6,2.4,43630,51525,55687,56871,492303766235,502771138676,384653300000,43510,49400,56720,187648000000,82,3,NaN,0.77,0.8,1271,983,4948,1690,0.5,NaN,NaN,0.9,42,NaN,8891,
AZE,1.7,1.7,29183700000,80092000000,47112941176,57657780569,274.4,1.5,8058,4740,14210,14545,141240661085,144573505574,75910698500,7637,4060,13790,26538000000,73,19,1.7,0.55,0.5,2325,1442,5566,616,0.9,NaN,0.1,0.3,44,6,9950,
BDI,1782.9,5.4,1748034284900,5414485000000,3036931818,2355816908,309.7,1.6,484501,272,762,779,8510320717,8711138069,5425363500000,485475,280,780,1463185000000,61,41,1782.9,621.56,620.8,5085,2157,3683,251,3.2,NaN,1.1,0.3,87,1,11175,
BEL,0.8,1.6,437322600000,459531600000,542685915417,538401092627,105.1,1.5,40214,47491,51246,52250,585590766129,597058697423,462773500000,40498,45940,52620,240045000000,82,3,NaN,0.77,0.8,1958,1306,6061,2157,0.5,NaN,NaN,0.9,2,NaN,11482,
